NACE Rev.2 grouped hierarchy (Section > Division > Group > Class),,,,,,,,,,,,,,,,
"Use the +/- outline controls at left to expand Sections to Divisions, Divisions to Groups, and Groups to Classes.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
level_depth,level,node_code,node_name,node_key,parent_key,section_code,section_name,division_code,division_name,group_code,group_name,class_code,class_name,hierarchy_path_codes,hierarchy_path_names,source_row_number
4,class,01.44,Raising of camels and camelids,class:01.44,group:01.4,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.4,Animal production,01.44,Raising of camels and camelids,A | 01 | 01.4 | 01.44,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Animal production | Raising of camels and camelids",32
4,class,01.45,Raising of sheep and goats,class:01.45,group:01.4,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.4,Animal production,01.45,Raising of sheep and goats,A | 01 | 01.4 | 01.45,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Animal production | Raising of sheep and goats",33
4,class,01.46,Raising of swine/pigs,class:01.46,group:01.4,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.4,Animal production,01.46,Raising of swine/pigs,A | 01 | 01.4 | 01.46,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Animal production | Raising of swine/pigs",34
4,class,01.47,Raising of poultry,class:01.47,group:01.4,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.4,Animal production,01.47,Raising of poultry,A | 01 | 01.4 | 01.47,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Animal production | Raising of poultry",35
4,class,01.49,Raising of other animals,class:01.49,group:01.4,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.4,Animal production,01.49,Raising of other animals,A | 01 | 01.4 | 01.49,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Animal production | Raising of other animals",36
3,group,01.5,Mixed farming,group:01.5,division:01,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.5,Mixed farming,,,A | 01 | 01.5,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Mixed farming",37
4,class,01.50,Mixed farming,class:01.50,group:01.5,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.5,Mixed farming,01.50,Mixed farming,A | 01 | 01.5 | 01.50,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Mixed farming | Mixed farming",38
3,group,01.6,Support activities to agriculture and post-harvest crop activities,group:01.6,division:01,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.6,Support activities to agriculture and post-harvest crop activities,,,A | 01 | 01.6,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Support activities to agriculture and post-harvest crop activities",39
4,class,01.61,Support activities for crop production,class:01.61,group:01.6,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.6,Support activities to agriculture and post-harvest crop activities,01.61,Support activities for crop production,A | 01 | 01.6 | 01.61,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Support activities to agriculture and post-harvest crop activities | Support activities for crop production",40
4,class,01.62,Support activities for animal production,class:01.62,group:01.6,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.6,Support activities to agriculture and post-harvest crop activities,01.62,Support activities for animal production,A | 01 | 01.6 | 01.62,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Support activities to agriculture and post-harvest crop activities | Support activities for animal production",41
